Date,USDT
2024-06-01,8.68
2024-06-02,8.72
2024-06-03,8.7
2024-06-04,8.69
2024-06-05,8.75
2024-06-06,8.74
2024-06-07,8.85
2024-06-08,8.83
2024-06-09,8.82
2024-06-10,8.86
2024-06-11,8.9
2024-06-12,8.93
2024-06-13,8.97
2024-06-14,9.06
2024-06-15,9.02
2024-06-16,8.96
2024-06-17,8.96
2024-06-18,9.04
2024-06-19,9.01
2024-06-20,9.02
2024-06-21,9.02
2024-06-22,9.02
2024-06-23,9.03
2024-06-24,9.03
2024-06-25,9.11
2024-06-26,9.16
2024-06-27,9.27
2024-06-28,9.26
2024-06-29,9.21
2024-06-30,9.22
2024-07-01,9.16
2024-07-02,9.27
2024-07-03,9.45
2024-07-04,9.64
2024-07-05,9.81
2024-07-06,9.93
2024-07-07,9.84
2024-07-08,9.89
2024-07-09,9.86
2024-07-10,9.91
2024-07-11,9.99
2024-07-12,10.22
2024-07-13,10.15
2024-07-14,10.15
2024-07-15,10.07
2024-07-16,10.08
2024-07-17,10.07
2024-07-18,10.08
2024-07-19,10.11
2024-07-20,10.16
2024-07-21,10.13
2024-07-22,10.14
2024-07-23,10.17
2024-07-24,10.43
2024-07-25,10.71
2024-07-26,11.35
2024-07-27,11.22
2024-07-28,11.26
2024-07-29,11.2
2024-07-30,11.86
2024-07-31,13.35
2024-08-01,13.5
2024-08-02,13.35
2024-08-03,13.2
2024-08-04,13.18
2024-08-05,13.07
2024-08-06,12.6
2024-08-07,12.64
2024-08-08,11.23
2024-08-09,11.22
2024-08-10,11.23
2024-08-11,11
2024-08-12,10.9
2024-08-13,10.83
2024-08-14,10.92
2024-08-15,10.92
2024-08-16,10.97
2024-08-17,11.06
2024-08-18,11.06
2024-08-19,11.06
2024-08-20,11.08
2024-08-21,11.04
2024-08-22,10.98
2024-08-23,10.86
2024-08-24,10.85
2024-08-25,10.83
2024-08-26,10.84
2024-08-27,10.95
2024-08-28,11.03
2024-08-29,11.03
2024-08-30,10.95
2024-08-31,10.76
2024-09-01,10.76
2024-09-02,10.91
2024-09-03,10.92
2024-09-04,10.92
2024-09-05,10.66
2024-09-06,10.59
2024-09-07,10.62
2024-09-08,10.78
2024-09-09,10.81
2024-09-10,10.81
2024-09-11,10.79
2024-09-12,10.75
2024-09-13,10.75
2024-09-14,10.65
2024-09-15,10.65
2024-09-16,10.6
2024-09-17,10.62
2024-09-18,10.62
2024-09-19,10.62
2024-09-20,10.55
2024-09-21,10.61
2024-09-22,10.62
2024-09-23,10.56
2024-09-24,10.58
2024-09-25,10.59
2024-09-26,10.63
2024-09-27,10.64
2024-09-28,10.6
2024-09-29,10.62
2024-09-30,10.59
2024-10-01,10.51
2024-10-02,10.55
2024-10-03,10.59
2024-10-04,10.55
2024-10-05,10.5
2024-10-06,10.49
2024-10-07,10.48
2024-10-08,10.51
2024-10-09,10.59
2024-10-10,10.59
2024-10-11,10.6
2024-10-12,10.59
2024-10-13,10.58
2024-10-14,10.58
2024-10-15,10.58
2024-10-16,10.58
2024-10-17,10.62
2024-10-18,10.64
2024-10-19,10.61
2024-10-20,10.63
2024-10-21,10.64
2024-10-22,10.65
2024-10-23,10.67
2024-10-24,10.67
2024-10-25,10.67
2024-10-26,10.67
2024-10-27,10.64
2024-10-28,10.63
2024-10-29,10.67
2024-10-30,10.66
2024-10-31,10.64
2024-11-01,10.62
2024-11-02,10.6
2024-11-03,10.59
2024-11-04,10.54
2024-11-05,10.56
2024-11-06,10.59
2024-11-07,10.56
2024-11-08,10.58
2024-11-09,10.55
2024-11-10,10.59
2024-11-11,10.58
2024-11-12,10.6
2024-11-13,10.62
2024-11-14,10.67
2024-11-15,10.68
2024-11-16,10.67
2024-11-17,10.67
2024-11-18,10.7
2024-11-19,10.8
2024-11-20,11.12
2024-11-21,11.43
2024-11-22,12.05
2024-11-23,12.14
2024-11-24,11.91
2024-11-25,11.65
2024-11-26,11.28
2024-11-27,11.13
2024-11-28,11.13
2024-11-29,11.15
2024-11-30,11.07
2024-12-01,11.1
2024-12-02,11.07
2024-12-03,11.07
2024-12-04,11.1
2024-12-05,11.14
2024-12-06,11.14
2024-12-07,11.09
2024-12-08,11.11
2024-12-09,11.07
2024-12-10,11.06
2024-12-11,11.08
2024-12-12,11.09
2024-12-13,11.1
2024-12-14,11.1
2024-12-15,11.09
2024-12-16,11.08
2024-12-17,11.08
2024-12-18,11.09
2024-12-19,11.24
2024-12-20,11.25
2024-12-21,11.22
2024-12-22,11.2
2024-12-23,11.1
2024-12-24,11.08
2024-12-25,11.1
2024-12-26,11.11
2024-12-27,11.1
2024-12-28,11.1
2024-12-29,11.1
2024-12-30,11.12
2024-12-31,11.09
2025-01-01,11.11
2025-01-02,11.11
2025-01-03,11.1
2025-01-04,11.1
2025-01-05,11.1
2025-01-06,11.09
2025-01-07,11.1
2025-01-08,11.15
2025-01-09,11.19
2025-01-10,11.19
2025-01-11,11.18
2025-01-12,11.19
2025-01-13,11.2
2025-01-14,11.24
2025-01-15,11.24
2025-01-16,11.29
2025-01-17,11.32
2025-01-18,11.29
2025-01-19,11.36
2025-01-20,11.35
2025-01-21,11.37
2025-01-22,11.3
2025-01-23,11.31
2025-01-24,11.31
2025-01-25,11.3
2025-01-26,11.3
2025-01-27,11.29
2025-01-28,11.29
2025-01-29,11.28
2025-01-30,11.25
2025-01-31,11.26
2025-02-01,11.2
2025-02-02,11.18
2025-02-03,11.22
2025-02-04,11.17
2025-02-05,11.17
2025-02-06,11.2
2025-02-07,11.2
2025-02-08,11.19
2025-02-09,11.19
2025-02-10,11.19
2025-02-11,11.19
2025-02-12,11.21
2025-02-13,11.24
2025-02-14,11.22
2025-02-15,11.2
2025-02-16,11.19
2025-02-17,11.19
2025-02-18,11.22
2025-02-19,11.22
2025-02-20,11.27
2025-02-21,11.27
2025-02-22,11.28
2025-02-23,11.27
2025-02-24,11.26
2025-02-25,11.29
2025-02-26,11.3
2025-02-27,11.44
2025-02-28,11.35
2025-03-01,11.36
2025-03-02,11.32
2025-03-03,11.29
2025-03-04,11.28
2025-03-05,11.28
2025-03-06,11.28
2025-03-07,11.28
2025-03-08,11.26
2025-03-09,11.28
2025-03-10,11.27
2025-03-11,11.45
2025-03-12,11.9
2025-03-13,12.46
2025-03-14,11.85
2025-03-15,11.74
2025-03-16,11.85
2025-03-17,11.77
2025-03-18,11.86
2025-03-19,11.92
2025-03-20,12
2025-03-21,12.03
2025-03-22,12.01
2025-03-23,12.02
2025-03-24,12.03
2025-03-25,12.14
2025-03-26,12.34
2025-03-27,12.4
2025-03-28,12.38
2025-03-29,12.385
2025-03-30,12.38
2025-03-31,12.39
2025-04-01,12.43
2025-04-02,12.61
2025-04-03,12.76
2025-04-04,12.83
2025-04-05,12.86
2025-04-06,12.85
2025-04-07,12.94
2025-04-08,13.07
2025-04-09,13.36
2025-04-10,13.46
2025-04-11,13.53
2025-04-12,13.41
2025-04-13,13.41
2025-04-14,13.43
2025-04-15,13.41
2025-04-16,13.43
2025-04-17,13.54
2025-04-18,13.5
2025-04-19,13.48
2025-04-20,13.48
2025-04-21,13.46
2025-04-22,13.52
2025-04-23,13.7
2025-04-24,14.1
2025-04-25,14.12
2025-04-26,14.23
2025-04-27,14.55
2025-04-28,14.7
2025-04-29,15.19
2025-04-30,15.24
2025-05-01,15.28
2025-05-02,15.21
2025-05-03,15.23
2025-05-04,15.19
2025-05-05,15.2
2025-05-06,15.2
2025-05-07,15.35
2025-05-08,15.4
2025-05-09,15.49
2025-05-10,15.45
2025-05-11,15.44
2025-05-12,15.53
2025-05-13,15.99
2025-05-14,16.17
2025-05-15,17.75
2025-05-16,17.82
2025-05-17,17.58
2025-05-18,17.6
2025-05-19,17.56
2025-05-20,17.47
2025-05-21,17.46
2025-05-22,17.45
2025-05-23,17.33
2025-05-24,16.36
2025-05-25,16.47
2025-05-26,16.41
2025-05-27,16.35
2025-05-28,16.4
2025-05-29,16.51
2025-05-30,16.47
2025-05-31,16.4
2025-06-01,16.37
2025-06-02,16.32
2025-06-03,16.33
2025-06-04,16.32
2025-06-05,16.34
2025-06-06,16.33
2025-06-07,16.32
2025-06-08,16.3
2025-06-09,16.26
2025-06-10,16.32
2025-06-11,16.31
2025-06-12,16.36
2025-06-13,16.35
2025-06-14,16.36
2025-06-15,16.3
2025-06-16,16.32
2025-06-17,16.31
2025-06-18,16.27
2025-06-19,16.23
2025-06-20,16.19
2025-06-21,15.89
2025-06-22,16.01
2025-06-23,16.04
2025-06-24,16.02
2025-06-25,16.03
2025-06-26,16.03
2025-06-27,15.88
2025-06-28,15.58
2025-06-29,15.55
2025-06-30,15.01
